ticker,date,open,high,low,close
T,2022-05-14,0.0472196,0.0472196,0.0472196,0.0472196
T,2022-05-15,0.0458357,0.0486464,0.0454363,0.0486416
T,2022-05-16,0.0485417,0.050629,0.045931,0.0495355
T,2022-05-17,0.0496354,0.0502447,0.0480375,0.04994
T,2022-05-18,0.0500349,0.0519324,0.0469389,0.0480375
T,2022-05-19,0.0483322,0.0664335,0.0463397,0.0507492
T,2022-05-20,0.0509541,0.0542403,0.0475429,0.0489412
T,2022-05-21,0.0488413,0.0502396,0.0475381,0.048437
T,2022-05-22,0.048437,0.0511386,0.0480327,0.0494406
T,2022-05-23,0.0495405,0.0511488,0.0476428,0.0483371
T,2022-05-24,0.0480423,0.0480471,0.0439516,0.0464396
T,2022-05-25,0.0467392,0.048532,0.0461353,0.0470482
T,2022-05-26,0.0470435,0.0475429,0.0420495,0.043956
T,2022-05-27,0.0440515,0.095904,0.041754,0.0423576
T,2022-05-28,0.0422556,0.047239,0.0416437,0.0429497
T,2022-05-29,0.0429488,0.0437518,0.042358,0.043354
T,2022-05-30,0.0431546,0.0476666,0.0431546,0.0471622
T,2022-05-31,0.0475619,0.0496602,0.0459632,0.0470623
T,2022-06-01,0.0470642,0.0799304,0.0470618,0.0545509
T,2022-06-02,0.0544455,0.0558441,0.0483564,0.0501548
T,2022-06-03,0.0500549,0.0585473,0.0498601,0.0522545
T,2022-06-04,0.052255,0.0534481,0.0489598,0.049962
T,2022-06-05,0.049963,0.0631488,0.0497622,0.05315
T,2022-06-06,0.0532499,0.0562533,0.0506544,0.0541545
T,2022-06-07,0.0542538,0.0543548,0.0482599,0.0518574
T,2022-06-08,0.0519584,0.0597587,0.0499625,0.0528656
T,2022-06-09,0.0527657,0.0535646,0.0507594,0.0515567
T,2022-06-10,0.051756,0.0521572,0.0470487,0.0481388
T,2022-06-11,0.0481388,0.0502457,0.0427469,0.0442499
T,2022-06-12,0.0445492,0.0532387,0.0430466,0.0445451
T,2022-06-13,0.0443449,0.0445456,0.0343487,0.03615
T,2022-06-14,0.0362495,0.0388343,0.0312534,0.034159
T,2022-06-15,0.0341593,0.0365597,0.031044,0.0364452
T,2022-06-16,0.0364452,0.0384577,0.0338627,0.034951
T,2022-06-17,0.0340526,0.0366494,0.033553,0.035757
T,2022-06-18,0.035757,0.0370559,0.0307461,0.0324473
T,2022-06-19,0.0325472,0.0354574,0.0312556,0.0350579
T,2022-06-20,0.034958,0.0356643,0.0334565,0.0352576
T,2022-06-21,0.0350614,0.0375699,0.0348581,0.0367595
T,2022-06-22,0.0367595,0.0392607,0.0348616,0.0351648
T,2022-06-23,0.0351648,0.0356643,0.0341624,0.0347652
T,2022-06-24,0.0348651,0.0373705,0.0347652,0.0370707
T,2022-06-25,0.0371628,0.0377622,0.0358756,0.0375737
T,2022-06-26,0.0375733,0.0396794,0.0372743,0.039376
T,2022-06-27,0.0392768,0.0421814,0.0382774,0.0395648
T,2022-06-28,0.0395624,0.0422619,0.0381526,0.0384542
T,2022-06-29,0.0385541,0.0385564,0.0351514,0.0360563
T,2022-06-30,0.0361566,0.0362564,0.0319584,0.0325609
T,2022-07-01,0.0325609,0.0351648,0.0324578,0.0343622
T,2022-07-02,0.0343587,0.0352576,0.0333599,0.0350579
T,2022-07-03,0.0350579,0.0352576,0.0337561,0.0343553
T,2022-07-04,0.0344552,0.0354574,0.0336528,0.0352576
T,2022-07-05,0.0353575,0.0372552,0.0340591,0.0353611
T,2022-07-06,0.0353611,0.0358605,0.0343587,0.0350614
T,2022-07-07,0.0350614,0.0369778,0.0347582,0.0364781
T,2022-07-08,0.036578,0.0373776,0.0357749,0.0369778
T,2022-07-09,0.0370777,0.0398761,0.0367742,0.0376774
T,2022-07-10,0.0376774,0.0379772,0.0355751,0.0360783
T,2022-07-11,0.0360783,0.0362746,0.0345723,0.0350684
T,2022-07-12,0.0350649,0.0350684,0.0326673,0.0333666
T,2022-07-13,0.0333679,0.0341658,0.0315684,0.0335698
T,2022-07-14,0.0337696,0.0348791,0.0328704,0.0344793
T,2022-07-15,0.0344793,0.035982,0.0335798,0.0355858
T,2022-07-16,0.0355893,0.0362927,0.0343862,0.0355893
T,2022-07-17,0.0356904,0.0362917,0.035394,0.0358907
T,2022-07-18,0.0357907,0.0375981,0.035288,0.0365912
T,2022-07-19,0.0366912,0.0407065,0.0365898,0.0394063
T,2022-07-20,0.0394,0.0431017,0.0373056,0.0381019
T,2022-07-21,0.0380042,0.0380053,0.0355975,0.0371093
T,2022-07-22,0.0371093,0.0381792,0.0356057,0.0360079
T,2022-07-23,0.0359,0.0370037,0.0350018,0.0358068
T,2022-07-24,0.0362136,0.0404004,0.0356146,0.0373275
T,2022-07-25,0.0372771,0.0380476,0.0347317,0.0355528
T,2022-07-26,0.0353832,0.0364473,0.032952,0.0340151
T,2022-07-27,0.0339047,0.0364149,0.0339047,0.0363087
T,2022-07-28,0.0363087,0.0382118,0.0359043,0.0378072
T,2022-07-29,0.0378098,0.0383962,0.0368088,0.0375154
T,2022-07-30,0.0375154,0.0393145,0.0372138,0.0381126
T,2022-07-31,0.0381141,0.234752,0.0375105,0.039309
T,2022-08-01,0.0388093,0.0404109,0.0382153,0.0395119
T,2022-08-02,0.0401112,0.041016,0.0374112,0.0388066
T,2022-08-03,0.0388074,0.0394138,0.0374086,0.0392098
T,2022-08-04,0.039209,0.0479029,0.0383061,0.0388016
T,2022-08-05,0.0389016,0.0407081,0.0386012,0.0399076
T,2022-08-06,0.039808,0.0429013,0.0393079,0.0399092
T,2022-08-07,0.0405089,0.0411095,0.0392047,0.0399072
T,2022-08-08,0.0399072,0.0413078,0.0396044,0.0402048
T,2022-08-09,0.0402048,0.0408098,0.0374079,0.0381076
T,2022-08-10,0.0381076,0.0407098,0.0370104,0.0401116
T,2022-08-11,0.0403121,0.046621,0.0398096,0.0422198
T,2022-08-12,0.0421198,0.0456228,0.0410205,0.0427196
T,2022-08-13,0.0427192,0.0440264,0.0423157,0.042617
T,2022-08-14,0.0428167,0.0447179,0.0418121,0.0421126
T,2022-08-15,0.0420126,0.0434117,0.0410045,0.0420101
T,2022-08-16,0.0420101,0.167302,0.0401076,0.0408037
T,2022-08-17,0.0408037,0.0417058,0.0384988,0.0390027
T,2022-08-18,0.0392031,0.0403024,0.0385015,0.0393012
T,2022-08-19,0.039804,0.040004,0.0336034,0.0338
T,2022-08-20,0.0338034,0.0351993,0.032997,0.0333
T,2022-08-21,0.0334993,0.0349993,0.0331983,0.0347993
T,2022-08-22,0.0347993,0.0350014,0.0321971,0.0333943
T,2022-08-23,0.033394,0.0342,0.032599,0.0340007
T,2022-08-24,0.0337966,0.0354021,0.0332987,0.0346031
T,2022-08-25,0.0346028,0.0361982,0.0340993,0.0354011
T,2022-08-26,0.034901,0.0356039,0.0316,0.0324032
T,2022-08-27,0.0324032,0.0324032,0.0310003,0.0316009
