ticker,date,open,high,low,close
FXS,2022-05-14,11.2858,11.3137,8.86868,9.04741
FXS,2022-05-15,9.06729,9.59555,8.2774,9.19004
FXS,2022-05-16,9.18904,9.43666,8.12979,8.36212
FXS,2022-05-17,8.36012,8.66372,8.21431,8.40007
FXS,2022-05-18,8.4039,8.43187,7.0708,7.09676
FXS,2022-05-19,7.10204,7.24375,6.3253,6.64901
FXS,2022-05-20,6.662,6.71728,5.9898,6.22153
FXS,2022-05-21,6.22153,6.49055,6.16136,6.40167
FXS,2022-05-22,6.38269,7.8266,6.3757,7.66879
FXS,2022-05-23,7.69076,8.29886,7.1781,7.21833
FXS,2022-05-24,7.19536,7.31994,6.75556,6.96493
FXS,2022-05-25,6.93697,7.53071,6.86706,7.42982
FXS,2022-05-26,7.43007,7.51972,6.658,6.77522
FXS,2022-05-27,6.77522,6.86413,6.5914,6.64169
FXS,2022-05-28,6.65141,6.88642,6.58668,6.84698
FXS,2022-05-29,6.83985,6.86585,6.64781,6.81549
FXS,2022-05-30,6.81618,7.37883,6.81164,7.37084
FXS,2022-05-31,7.45103,7.65987,7.16426,7.52298
FXS,2022-06-01,7.53265,7.71137,6.56808,6.58407
FXS,2022-06-02,6.56708,6.7709,6.54345,6.656
FXS,2022-06-03,6.65401,6.81286,6.49789,6.5453
FXS,2022-06-04,6.54637,6.55629,5.50465,5.63977
FXS,2022-06-05,5.64171,5.7404,5.48539,5.69264
FXS,2022-06-06,5.68665,5.96504,5.60484,5.79707
FXS,2022-06-07,5.78608,5.79619,4.78188,5.02892
FXS,2022-06-08,5.03292,6.21683,4.83685,5.75326
FXS,2022-06-09,5.74926,6.66267,5.66252,6.13484
FXS,2022-06-10,6.1389,6.1389,5.68152,5.70275
FXS,2022-06-11,5.69775,5.76765,5.11859,5.18114
FXS,2022-06-12,5.13919,5.57141,5.07775,5.36639
FXS,2022-06-13,5.36434,5.47326,4.78938,4.79632
FXS,2022-06-14,4.80331,4.88556,4.50804,4.53056
FXS,2022-06-15,4.53056,4.62472,4.20553,4.55715
FXS,2022-06-16,4.54717,4.57958,4.31695,4.35933
FXS,2022-06-17,4.32702,4.35207,4.03267,4.06412
FXS,2022-06-18,4.06212,4.12812,3.90552,3.98154
FXS,2022-06-19,3.98453,4.2449,3.9553,4.21394
FXS,2022-06-20,4.22,5.33712,4.1,5.06542
FXS,2022-06-21,5.09639,5.53646,4.9955,5.24722
FXS,2022-06-22,5.23776,5.28171,4.9925,5.14485
FXS,2022-06-23,5.15233,5.30669,5.07792,5.18881
FXS,2022-06-24,5.18281,5.43398,5.10189,5.40778
FXS,2022-06-25,5.40958,5.54006,5.23454,5.35025
FXS,2022-06-26,5.34026,5.85848,5.33731,5.65355
FXS,2022-06-27,5.65955,5.91133,5.3404,5.39609
FXS,2022-06-28,5.39303,5.42978,4.9969,5.03675
FXS,2022-06-29,5.03874,5.03895,4.62393,4.69931
FXS,2022-06-30,4.69636,4.96529,4.59479,4.78425
FXS,2022-07-01,4.7453,4.9425,4.7413,4.8875
FXS,2022-07-02,4.875,4.94,4.77,4.8725
FXS,2022-07-03,4.87914,4.89212,4.78377,4.78877
FXS,2022-07-04,4.78829,4.89911,4.7638,4.87215
FXS,2022-07-05,4.86515,5.29017,4.83967,5.28019
FXS,2022-07-06,5.28019,5.38607,5.18329,5.28718
FXS,2022-07-07,5.32114,5.34312,5.16831,5.28683
FXS,2022-07-08,5.285,5.55455,5.13891,5.1599
FXS,2022-07-09,5.1609,5.25584,5.13092,5.24685
FXS,2022-07-10,5.24185,5.24185,5.11742,5.1639
FXS,2022-07-11,5.14191,5.20435,5.08491,5.1024
FXS,2022-07-12,5.09941,5.11239,4.79672,4.82317
FXS,2022-07-13,4.80239,4.85214,4.71281,4.7707
FXS,2022-07-14,4.7727,5.21387,4.76771,5.13991
FXS,2022-07-15,5.13991,5.34679,5.10893,5.28042
FXS,2022-07-16,5.27842,5.54589,5.15645,5.48835
