ticker,date,open,high,low,close
AXS,2020-11-04,0.2703,0.2903,0.1421,0.1459
AXS,2020-11-05,0.1459,0.1508,0.1262,0.1345
AXS,2020-11-06,0.1345,0.1503,0.121,0.144
AXS,2020-11-07,0.144,0.1702,0.1345,0.1411
AXS,2020-11-08,0.1411,0.2422,0.1385,0.1987
AXS,2020-11-09,0.1987,0.325,0.1972,0.2798
AXS,2020-11-10,0.2798,0.3696,0.2452,0.27
AXS,2020-11-11,0.27,0.4374,0.2627,0.3544
AXS,2020-11-12,0.3544,0.3889,0.3028,0.3133
AXS,2020-11-13,0.3133,0.43,0.3133,0.394
AXS,2020-11-14,0.394,0.6079,0.3714,0.5656
AXS,2020-11-15,0.5656,0.6867,0.5042,0.5913
AXS,2020-11-16,0.5913,0.675,0.5365,0.5592
AXS,2020-11-17,0.5592,0.6036,0.4525,0.503
AXS,2020-11-18,0.503,0.5768,0.4323,0.5161
AXS,2020-11-19,0.5161,0.5606,0.4337,0.4386
AXS,2020-11-20,0.4386,0.5462,0.43,0.4989
AXS,2020-11-21,0.4989,0.5358,0.4553,0.4673
AXS,2020-11-22,0.4673,0.4729,0.3996,0.4268
AXS,2020-11-23,0.4268,0.5469,0.412,0.5107
AXS,2020-11-24,0.5107,0.5218,0.4348,0.4775
AXS,2020-11-25,0.4775,0.4873,0.3912,0.416
AXS,2020-11-26,0.416,0.4207,0.3162,0.3708
AXS,2020-11-27,0.3708,0.3847,0.3353,0.3777
AXS,2020-11-28,0.3777,0.4454,0.3704,0.4286
AXS,2020-11-29,0.4286,0.4965,0.4095,0.4775
AXS,2020-11-30,0.4775,0.49,0.4322,0.4567
AXS,2020-12-01,0.4567,0.4655,0.4004,0.4123
AXS,2020-12-02,0.4123,0.5177,0.4004,0.4987
AXS,2020-12-03,0.4987,0.537,0.4822,0.5126
AXS,2020-12-04,0.5126,0.5146,0.419,0.4312
AXS,2020-12-05,0.4312,0.4851,0.4213,0.4765
AXS,2020-12-06,0.4765,0.4865,0.4424,0.4799
AXS,2020-12-07,0.4799,0.5803,0.4682,0.5612
AXS,2020-12-08,0.5612,0.6708,0.5218,0.5709
AXS,2020-12-09,0.5709,0.683,0.5563,0.6275
AXS,2020-12-10,0.6275,0.639,0.5509,0.5638
AXS,2020-12-11,0.5638,0.578,0.497,0.5506
AXS,2020-12-12,0.5506,0.6306,0.5506,0.5788
AXS,2020-12-13,0.5788,0.6194,0.5637,0.6139
AXS,2020-12-14,0.6139,0.6689,0.5785,0.638
AXS,2020-12-15,0.638,0.7502,0.6086,0.7304
AXS,2020-12-16,0.7304,0.7999,0.6904,0.7423
AXS,2020-12-17,0.7423,0.7695,0.6849,0.7119
AXS,2020-12-18,0.7119,0.8474,0.6807,0.8252
AXS,2020-12-19,0.8252,0.8564,0.7463,0.7577
AXS,2020-12-20,0.7577,0.7886,0.6613,0.6892
AXS,2020-12-21,0.6892,0.7168,0.5961,0.6397
AXS,2020-12-22,0.6397,0.661,0.5866,0.6545
AXS,2020-12-23,0.6545,0.6595,0.4585,0.541
AXS,2020-12-24,0.541,0.6485,0.463,0.64
AXS,2020-12-25,0.64,0.6675,0.5768,0.5989
AXS,2020-12-26,0.5989,0.6172,0.536,0.5784
AXS,2020-12-27,0.5784,0.627,0.5181,0.5989
AXS,2020-12-28,0.5989,0.6641,0.581,0.5984
AXS,2020-12-29,0.5984,0.61,0.5278,0.5597
AXS,2020-12-30,0.5597,0.5865,0.5309,0.536
AXS,2020-12-31,0.536,0.5402,0.5005,0.5384
AXS,2021-01-01,0.5384,0.6248,0.5127,0.5943
AXS,2021-01-02,0.5943,0.6281,0.5287,0.5427
AXS,2021-01-03,0.5427,0.5835,0.5217,0.5652
AXS,2021-01-04,0.5652,0.6162,0.5101,0.5608
AXS,2021-01-05,0.5608,0.588,0.5204,0.5572
AXS,2021-01-06,0.5572,0.6306,0.5347,0.6015
AXS,2021-01-07,0.6015,0.74,0.5907,0.604
AXS,2021-01-08,0.604,0.6439,0.5342,0.5936
AXS,2021-01-09,0.5936,0.6401,0.5591,0.6032
AXS,2021-01-10,0.6032,0.6612,0.526,0.5729
AXS,2021-01-11,0.5729,0.5735,0.4103,0.4995
AXS,2021-01-12,0.4995,0.5154,0.4393,0.4492
AXS,2021-01-13,0.4492,0.51,0.4366,0.5022
AXS,2021-01-14,0.5022,0.5493,0.4805,0.5338
AXS,2021-01-15,0.5338,0.5739,0.4952,0.5417
AXS,2021-01-16,0.5417,0.63,0.5417,0.5835
AXS,2021-01-17,0.5835,0.647,0.5617,0.6111
AXS,2021-01-18,0.6111,0.6839,0.5786,0.6836
AXS,2021-01-19,0.6836,0.7099,0.6203,0.6315
AXS,2021-01-20,0.6315,0.6657,0.576,0.6344
AXS,2021-01-21,0.6344,0.7296,0.598,0.6443
AXS,2021-01-22,0.6443,0.6787,0.5356,0.6374
AXS,2021-01-23,0.6374,0.7487,0.6017,0.6946
AXS,2021-01-24,0.6946,0.8226,0.6848,0.7377
AXS,2021-01-25,0.7377,0.8777,0.7199,0.8353
AXS,2021-01-26,0.8353,0.9967,0.8159,0.9487
AXS,2021-01-27,0.9487,1.19,0.8619,0.875
AXS,2021-01-28,0.875,0.9459,0.8092,0.8172
AXS,2021-01-29,0.8172,0.838,0.7384,0.8147
AXS,2021-01-30,0.8147,0.8809,0.7636,0.8415
AXS,2021-01-31,0.8415,0.8751,0.7608,0.8039
