ticker,date,open,high,low,close
ICP,2021-05-10,630.0,630.0,250.32,426.98
ICP,2021-05-11,423.42,497.7,297.67,363.71
ICP,2021-05-12,363.71,389.05,255.55,258.41
ICP,2021-05-13,258.41,346.8,253.35,301.36
ICP,2021-05-14,301.36,341.3,291.96,304.46
ICP,2021-05-15,304.46,305.27,240.09,246.25
ICP,2021-05-16,246.25,264.2,205.46,225.61
ICP,2021-05-17,225.2,225.52,185.12,195.97
ICP,2021-05-18,195.97,206.0,160.5,163.87
ICP,2021-05-19,163.87,179.95,88.14,122.86
ICP,2021-05-20,123.64,224.53,104.07,164.72
ICP,2021-05-21,164.72,187.21,120.33,146.17
ICP,2021-05-22,146.17,169.31,125.11,146.44
ICP,2021-05-23,146.44,165.79,122.0,144.3
ICP,2021-05-24,144.3,163.78,135.65,147.83
ICP,2021-05-25,147.83,156.99,123.07,134.19
ICP,2021-05-26,134.17,152.26,132.13,142.74
ICP,2021-05-27,142.74,145.89,129.89,132.15
ICP,2021-05-28,132.15,132.89,110.13,115.68
ICP,2021-05-29,115.82,120.0,105.72,110.81
ICP,2021-05-30,110.62,118.45,104.45,111.83
ICP,2021-05-31,111.83,115.24,105.22,114.66
ICP,2021-06-01,114.82,117.0,106.0,107.53
ICP,2021-06-02,107.55,112.94,102.35,107.89
ICP,2021-06-03,107.89,136.41,105.22,124.54
ICP,2021-06-04,124.54,124.69,105.49,108.86
ICP,2021-06-05,108.86,116.22,100.0,104.62
ICP,2021-06-06,104.62,109.98,102.49,104.44
ICP,2021-06-07,104.44,106.69,89.08,91.15
ICP,2021-06-08,91.38,94.8,77.0,81.43
ICP,2021-06-09,81.39,88.96,77.11,81.51
ICP,2021-06-10,81.51,83.65,65.5,66.51
ICP,2021-06-11,66.51,72.33,56.17,58.44
ICP,2021-06-12,58.44,67.6,53.03,61.08
ICP,2021-06-13,61.08,66.75,57.19,64.43
ICP,2021-06-14,64.43,70.76,61.93,66.72
ICP,2021-06-15,66.72,68.87,58.62,60.37
ICP,2021-06-16,60.37,60.39,54.74,55.33
ICP,2021-06-17,55.33,60.18,51.54,54.09
ICP,2021-06-18,54.09,55.59,47.02,48.44
ICP,2021-06-19,48.44,54.84,46.39,48.76
ICP,2021-06-20,48.76,50.74,44.16,47.15
ICP,2021-06-21,47.15,47.66,36.27,36.67
ICP,2021-06-22,36.67,40.16,31.87,34.47
ICP,2021-06-23,34.47,40.92,32.86,37.74
ICP,2021-06-24,37.74,38.89,33.14,34.59
ICP,2021-06-25,34.59,36.69,30.68,31.1
ICP,2021-06-26,31.1,33.77,28.32,30.38
ICP,2021-06-27,30.38,45.31,29.5,43.03
ICP,2021-06-28,43.03,51.49,40.51,51.26
ICP,2021-06-29,51.26,59.42,46.8,54.23
ICP,2021-06-30,54.23,54.67,43.25,49.92
ICP,2021-07-01,49.92,50.75,44.2,45.7
ICP,2021-07-02,45.7,47.4,41.44,43.88
ICP,2021-07-03,43.88,49.98,42.73,48.76
ICP,2021-07-04,48.76,50.93,46.45,46.73
ICP,2021-07-05,46.73,47.99,44.09,46.24
ICP,2021-07-06,46.24,48.39,45.0,46.23
ICP,2021-07-07,46.23,47.94,45.0,45.38
ICP,2021-07-08,45.38,45.48,39.16,40.26
ICP,2021-07-09,40.26,42.48,37.29,40.59
ICP,2021-07-10,40.59,42.1,37.62,38.61
ICP,2021-07-11,38.61,41.44,37.75,39.69
ICP,2021-07-12,39.69,40.96,35.93,37.22
ICP,2021-07-13,37.22,39.93,35.25,38.93
ICP,2021-07-14,38.93,39.85,35.29,36.88
ICP,2021-07-15,36.88,38.37,35.31,35.96
ICP,2021-07-16,35.96,36.15,32.18,32.39
ICP,2021-07-17,32.39,33.51,31.18,32.3
ICP,2021-07-18,32.3,34.82,31.96,32.38
ICP,2021-07-19,32.38,32.58,29.87,30.91
ICP,2021-07-20,30.91,31.54,26.98,28.54
ICP,2021-07-21,28.54,35.1,27.77,33.41
ICP,2021-07-22,33.41,35.38,32.23,33.76
ICP,2021-07-23,33.76,35.07,31.74,34.65
ICP,2021-07-24,34.65,45.69,33.91,43.49
ICP,2021-07-25,43.49,46.05,40.46,42.65
ICP,2021-07-26,42.65,48.14,40.51,40.58
ICP,2021-07-27,40.58,41.72,37.53,41.02
ICP,2021-07-28,41.02,43.81,39.29,40.74
ICP,2021-07-29,40.74,41.88,39.07,41.23
ICP,2021-07-30,41.23,42.72,38.31,42.19
ICP,2021-07-31,42.19,43.91,40.41,41.82
ICP,2021-08-01,41.82,44.6,40.7,40.9
ICP,2021-08-02,40.9,41.49,39.77,40.19
ICP,2021-08-03,40.19,40.65,37.61,38.54
